constructor_id,name,nationality,url
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,https://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-ferrari,De Tomaso-Ferrari,Italian,https://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-osca,De Tomaso-Osca,Italian,https://en.wikipedia.org/wiki/De_Tomaso
deidt,Deidt,American,https://en.wikipedia.org/wiki/Emil_Diedt
del_roy,Del Roy,American,https://en.wikipedia.org/wiki/Frank_DelRoy
derrington,Derrington,British,https://en.wikipedia.org/wiki/Derrington-Francis
dunn,Dunn,American,https://en.wikipedia.org/wiki/Dunn_Engineering
eagle,Eagle,American,https://en.wikipedia.org/wiki/All_American_Racers
eagle-climax,Eagle-Climax,American,https://en.wikipedia.org/wiki/All_American_Racers
eagle-weslake,Eagle-Weslake,American,https://en.wikipedia.org/wiki/All_American_Racers
elder,Elder,American,https://en.wikipedia.org/wiki/Edgar_Elder
emeryson,Emeryson,British,https://en.wikipedia.org/wiki/Emeryson
emw,EMW,East German,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
enb,ENB,Belgian,https://en.wikipedia.org/wiki/Écurie_Nationale_Belge
ensign,Ensign,British,https://en.wikipedia.org/wiki/Ensign_Racing
epperly,Epperly,American,https://en.wikipedia.org/wiki/Epperly
era,ERA,British,https://en.wikipedia.org/wiki/English_Racing_Automobiles
eurobrun,Euro Brun,Italian,https://en.wikipedia.org/wiki/EuroBrun
ewing,Ewing,American,https://en.wikipedia.org/wiki/Wayne_Ewing
ferguson,Ferguson,British,https://en.wikipedia.org/wiki/Ferguson_Research
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
fittipaldi,Fittipaldi,Brazilian,https://en.wikipedia.org/wiki/Fittipaldi_Automotive
fondmetal,Fondmetal,Italian,https://en.wikipedia.org/wiki/Fondmetal
footwork,Footwork,British,https://en.wikipedia.org/wiki/Footwork_Arrows
force_india,Force India,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India
forti,Forti,Italian,https://en.wikipedia.org/wiki/Forti
frazer_nash,Frazer Nash,British,https://en.wikipedia.org/wiki/Frazer_Nash
fry,Fry,British,https://en.wikipedia.org/wiki/Fry_(racing_team)
gilby,Gilby,British,https://en.wikipedia.org/wiki/Gilby
gordini,Gordini,French,https://en.wikipedia.org/wiki/Gordini
haas,Haas F1 Team,American,https://en.wikipedia.org/wiki/Haas_F1_Team
hall,Hall,American,https://en.wikipedia.org/wiki/Hall_(constructor)
hesketh,Hesketh,British,https://en.wikipedia.org/wiki/Hesketh_Racing
hill,Embassy Hill,British,https://en.wikipedia.org/wiki/Embassy_Hill
honda,Honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One
hrt,HRT,Spanish,https://en.wikipedia.org/wiki/HRT_Formula_1_Team
hwm,HWM,British,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
iso_marlboro,Iso Marlboro,British,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
jaguar,Jaguar,British,https://en.wikipedia.org/wiki/Jaguar_Racing
jbw,JBW,British,https://en.wikipedia.org/wiki/JBW
jordan,Jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix
kauhsen,Kauhsen,German,https://en.wikipedia.org/wiki/Kauhsen
klenk,Klenk,German,https://en.wikipedia.org/wiki/Klenk
kojima,Kojima,Japanese,https://en.wikipedia.org/wiki/Kojima_Engineering
kurtis_kraft,Kurtis Kraft,American,https://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,https://en.wikipedia.org/wiki/Eddie_Kuzma
lago,Talbot-Lago,French,https://en.wikipedia.org/wiki/Talbot-Lago
lambo,Lambo,Italian,https://en.wikipedia.org/wiki/Modena_(racing_team)
lancia,Lancia,Italian,https://en.wikipedia.org/wiki/Scuderia_Lancia
langley,Langley,American,https://en.wikipedia.org/wiki/Langley_(constructor)
larrousse,Larrousse,French,https://en.wikipedia.org/wiki/Larrousse
lds,LDS,South African,https://en.wikipedia.org/wiki/LDS_(automobile)
lds-alfa_romeo,LDS-Alfa Romeo,South African,https://en.wikipedia.org/wiki/LDS_(automobile)
lds-climax,LDS-Climax,South African,https://en.wikipedia.org/wiki/LDS_(automobile)
lec,LEC,British,https://en.wikipedia.org/wiki/LEC_Refrigeration_Racing
lesovsky,Lesovsky,American,https://en.wikipedia.org/wiki/Lesovsky
leyton,Leyton House,British,https://en.wikipedia.org/wiki/Leyton_House_Racing
life,Life,Italian,https://en.wikipedia.org/wiki/Life_Racing_Engines
ligier,Ligier,French,https://en.wikipedia.org/wiki/Ligier
lola,Lola,British,https://en.wikipedia.org/wiki/MasterCard_Lola
lotus-borgward,Lotus-Borgward,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus-brm,Lotus-BRM,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus-climax,Lotus-Climax,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus-ford,Lotus-Ford,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,Lotus-Maserati,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus-pw,Lotus-Pratt &amp; Whitney,British,https://en.wikipedia.org/wiki/Team_Lotus
lotus_f1,Lotus F1,British,https://en.wikipedia.org/wiki/Lotus_F1
lotus_racing,Lotus,Malaysian,https://en.wikipedia.org/wiki/Lotus_Racing
lyncar,Lyncar,British,https://en.wikipedia.org/wiki/Lyncar
maki,Maki,Japanese,https://en.wikipedia.org/wiki/Maki_Engineering
manor,Manor Marussia,British,https://en.wikipedia.org/wiki/Manor_Motorsport
march,March,British,https://en.wikipedia.org/wiki/March_Engineering
march-alfa_romeo,March-Alfa Romeo,British,https://en.wikipedia.org/wiki/March_Engineering
march-ford,March-Ford,British,https://en.wikipedia.org/wiki/March_Engineering
marchese,Marchese,American,https://en.wikipedia.org/wiki/Carl_Marchese
martini,Martini,French,https://en.wikipedia.org/wiki/Automobiles_Martini
marussia,Marussia,Russian,https://en.wikipedia.org/wiki/Marussia_F1
maserati,Maserati,Italian,https://en.wikipedia.org/wiki/Maserati
matra,Matra,French,https://en.wikipedia.org/wiki/Matra
matra-ford,Matra-Ford,French,https://en.wikipedia.org/wiki/Matra
mbm,MBM,Swiss,https://en.wikipedia.org/wiki/Monteverdi_(automobile)
mcguire,McGuire,Australian,https://en.wikipedia.org/wiki/McGuire_(Formula_One)
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mclaren-alfa_romeo,McLaren-Alfa Romeo,British,https://en.wikipedia.org/wiki/McLaren
mclaren-brm,McLaren-BRM,British,https://en.wikipedia.org/wiki/McLaren
mclaren-ford,McLaren-Ford,British,https://en.wikipedia.org/wiki/McLaren
mclaren-seren,McLaren-Serenissima,British,https://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
merzario,Merzario,Italian,https://en.wikipedia.org/wiki/Merzario
meskowski,Meskowski,American,https://en.wikipedia.org/wiki/Meskowski
mf1,MF1,Russian,https://en.wikipedia.org/wiki/Midland_F1_Racing
milano,Milano,Italian,https://en.wikipedia.org/wiki/Scuderia_Milano
minardi,Minardi,Italian,https://en.wikipedia.org/wiki/Minardi
moda,Andrea Moda,Italian,https://en.wikipedia.org/wiki/Andrea_Moda_Formula
moore,Moore,American,https://en.wikipedia.org/wiki/Lou_Moore
nichels,Nichels,American,https://en.wikipedia.org/wiki/Nichels
olson,Olson,American,https://en.wikipedia.org/wiki/Olson_(constructor)
onyx,Onyx,British,https://en.wikipedia.org/wiki/Onyx_Grand_Prix
osca,OSCA,Italian,https://en.wikipedia.org/wiki/O.S.C.A.
osella,Osella,Italian,https://en.wikipedia.org/wiki/Osella
pacific,Pacific,British,https://en.wikipedia.org/wiki/Pacific_Racing
pankratz,Pankratz,American,https://en.wikipedia.org/wiki/Pankratz
parnelli,Parnelli,American,https://en.wikipedia.org/wiki/Vel's_Parnelli_Jones_Racing
pawl,Pawl,American,https://en.wikipedia.org/wiki/Pawl_(constructor)
penske,Penske,American,https://en.wikipedia.org/wiki/Team_Penske
phillips,Phillips,American,https://en.wikipedia.org/wiki/Phillips_(constructor)
politoys,Politoys,British,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
porsche,Porsche,German,https://en.wikipedia.org/wiki/Porsche_in_motorsport
prost,Prost,French,https://en.wikipedia.org/wiki/Prost_Grand_Prix
protos,Protos,British,https://en.wikipedia.org/wiki/Protos_(constructor)
racing_point,Racing Point,British,https://en.wikipedia.org/wiki/Racing_Point_F1_Team
rae,Rae,American,https://en.wikipedia.org/wiki/Johnny_Rae_(motorsport)
ram,RAM,British,https://en.wikipedia.org/wiki/RAM_Racing
rb,RB F1 Team,Italian,https://en.wikipedia.org/wiki/Racing_Bulls
re,RE,Rhodesian,https://en.wikipedia.org/wiki/Realpha
rebaque,Rebaque,Mexican,https://en.wikipedia.org/wiki/Rebaque
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
renault,Renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One
rial,Rial,German,https://en.wikipedia.org/wiki/Rial_Racing
sauber,Sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport
scarab,Scarab,American,https://en.wikipedia.org/wiki/Scarab_(constructor)
schroeder,Schroeder,American,https://en.wikipedia.org/wiki/Gordon_Schroeder
scirocco,Scirocco,British,https://en.wikipedia.org/wiki/Scirocco-Powell
shadow,Shadow,British,https://en.wikipedia.org/wiki/Shadow_Racing_Cars
shadow-ford,Shadow-Ford,British,https://en.wikipedia.org/wiki/Shadow_Racing_Cars
shadow-matra,Shadow-Matra,British,https://en.wikipedia.org/wiki/Shadow_Racing_Cars
shannon,Shannon,British,https://en.wikipedia.org/wiki/Shannon_Racing_Cars
sherman,Sherman,American,https://en.wikipedia.org/wiki/Roy_Sherman
simca,Simca,French,https://en.wikipedia.org/wiki/Simca
simtek,Simtek,British,https://en.wikipedia.org/wiki/Simtek
snowberger,Snowberger,American,https://en.wikipedia.org/wiki/Russ_Snowberger
spirit,Spirit,British,https://en.wikipedia.org/wiki/Spirit_Racing
spyker,Spyker,Dutch,https://en.wikipedia.org/wiki/Spyker_F1
spyker_mf1,Spyker MF1,Dutch,https://en.wikipedia.org/wiki/Midland_F1_Racing
stebro,Stebro,Canadian,https://en.wikipedia.org/wiki/Stebro
stevens,Stevens,American,https://en.wikipedia.org/wiki/Myron_Stevens
stewart,Stewart,British,https://en.wikipedia.org/wiki/Stewart_Grand_Prix
super_aguri,Super Aguri,Japanese,https://en.wikipedia.org/wiki/Super_Aguri_F1
surtees,Surtees,British,https://en.wikipedia.org/wiki/Surtees
sutton,Sutton,American,https://en.wikipedia.org/wiki/Sutton_(constructor)
team_lotus,Team Lotus,British,https://en.wikipedia.org/wiki/Team_Lotus
tec-mec,Tec-Mec,Italian,https://en.wikipedia.org/wiki/Tec-Mec
tecno,Tecno,Italian,https://en.wikipedia.org/wiki/Tecno
theodore,Theodore,Hong Kong,https://en.wikipedia.org/wiki/Theodore_Racing
token,Token,British,https://en.wikipedia.org/wiki/Token_Racing
toleman,Toleman,British,https://en.wikipedia.org/wiki/Toleman
tomaso,De Tomaso,Italian,https://en.wikipedia.org/wiki/De_Tomaso
toro_rosso,Toro Rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
toyota,Toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing
trevis,Trevis,American,https://en.wikipedia.org/wiki/Trevis
trojan,Trojan,British,https://en.wikipedia.org/wiki/Trojan–Tauranac_Racing
turner,Turner,American,https://en.wikipedia.org/wiki/Turner_(constructor)
tyrrell,Tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing
vanwall,Vanwall,British,https://en.wikipedia.org/wiki/Vanwall
veritas,Veritas,German,https://en.wikipedia.org/wiki/Veritas_(automobile)
vhristensen,Christensen,American,https://en.wikipedia.org/wiki/Christensen_(constructor)
virgin,Virgin,British,https://en.wikipedia.org/wiki/Virgin_Racing
watson,Watson,American,https://en.wikipedia.org/wiki/A._J._Watson
wetteroth,Wetteroth,American,https://en.wikipedia.org/wiki/Wetteroth
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
wolf,Wolf,Canadian,https://en.wikipedia.org/wiki/Walter_Wolf_Racing
zakspeed,Zakspeed,German,https://en.wikipedia.org/wiki/Zakspeed
