season,round,race_name,circuit_id,date,time,url
1958,6,French Grand Prix,reims,1958-07-06,,https://en.wikipedia.org/wiki/1958_French_Grand_Prix
1958,7,British Grand Prix,silverstone,1958-07-19,,https://en.wikipedia.org/wiki/1958_British_Grand_Prix
1958,8,German Grand Prix,nurburgring,1958-08-03,,https://en.wikipedia.org/wiki/1958_German_Grand_Prix
1958,9,Portuguese Grand Prix,boavista,1958-08-24,,https://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
1958,10,Italian Grand Prix,monza,1958-09-07,,https://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
1958,11,Moroccan Grand Prix,ain-diab,1958-10-19,,https://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
1959,1,Monaco Grand Prix,monaco,1959-05-10,,https://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
1959,2,Indianapolis 500,indianapolis,1959-05-30,,https://en.wikipedia.org/wiki/1959_Indianapolis_500
1959,3,Dutch Grand Prix,zandvoort,1959-05-31,,https://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
1959,4,French Grand Prix,reims,1959-07-05,,https://en.wikipedia.org/wiki/1959_French_Grand_Prix
1959,5,British Grand Prix,aintree,1959-07-18,,https://en.wikipedia.org/wiki/1959_British_Grand_Prix
1959,6,German Grand Prix,avus,1959-08-02,,https://en.wikipedia.org/wiki/1959_German_Grand_Prix
1959,7,Portuguese Grand Prix,monsanto,1959-08-23,,https://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
1959,8,Italian Grand Prix,monza,1959-09-13,,https://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
1959,9,United States Grand Prix,sebring,1959-12-12,,https://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
1960,1,Argentine Grand Prix,galvez,1960-02-07,,https://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
1960,2,Monaco Grand Prix,monaco,1960-05-29,,https://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
1960,3,Indianapolis 500,indianapolis,1960-05-30,,https://en.wikipedia.org/wiki/1960_Indianapolis_500
1960,4,Dutch Grand Prix,zandvoort,1960-06-06,,https://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
1960,5,Belgian Grand Prix,spa,1960-06-19,,https://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
1960,6,French Grand Prix,reims,1960-07-03,,https://en.wikipedia.org/wiki/1960_French_Grand_Prix
1960,7,British Grand Prix,silverstone,1960-07-16,,https://en.wikipedia.org/wiki/1960_British_Grand_Prix
1960,8,Portuguese Grand Prix,boavista,1960-08-14,,https://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
1960,9,Italian Grand Prix,monza,1960-09-04,,https://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
1960,10,United States Grand Prix,riverside,1960-11-20,,https://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
1961,1,Monaco Grand Prix,monaco,1961-05-14,,https://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
1961,2,Dutch Grand Prix,zandvoort,1961-05-22,,https://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
1961,3,Belgian Grand Prix,spa,1961-06-18,,https://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
1961,4,French Grand Prix,reims,1961-07-02,,https://en.wikipedia.org/wiki/1961_French_Grand_Prix
1961,5,British Grand Prix,aintree,1961-07-15,,https://en.wikipedia.org/wiki/1961_British_Grand_Prix
1961,6,German Grand Prix,nurburgring,1961-08-06,,https://en.wikipedia.org/wiki/1961_German_Grand_Prix
1961,7,Italian Grand Prix,monza,1961-09-10,,https://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
1961,8,United States Grand Prix,watkins_glen,1961-10-08,,https://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
1962,1,Dutch Grand Prix,zandvoort,1962-05-20,,https://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
1962,2,Monaco Grand Prix,monaco,1962-06-03,,https://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
1962,3,Belgian Grand Prix,spa,1962-06-17,,https://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
1962,4,French Grand Prix,essarts,1962-07-08,,https://en.wikipedia.org/wiki/1962_French_Grand_Prix
1962,5,British Grand Prix,aintree,1962-07-21,,https://en.wikipedia.org/wiki/1962_British_Grand_Prix
1962,6,German Grand Prix,nurburgring,1962-08-05,,https://en.wikipedia.org/wiki/1962_German_Grand_Prix
1962,7,Italian Grand Prix,monza,1962-09-16,,https://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
1962,8,United States Grand Prix,watkins_glen,1962-10-07,,https://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
1962,9,South African Grand Prix,george,1962-12-29,,https://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
1963,1,Monaco Grand Prix,monaco,1963-05-26,,https://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
1963,2,Belgian Grand Prix,spa,1963-06-09,,https://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix
1963,3,Dutch Grand Prix,zandvoort,1963-06-23,,https://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix
1963,4,French Grand Prix,reims,1963-06-30,,https://en.wikipedia.org/wiki/1963_French_Grand_Prix
1963,5,British Grand Prix,silverstone,1963-07-20,,https://en.wikipedia.org/wiki/1963_British_Grand_Prix
1963,6,German Grand Prix,nurburgring,1963-08-04,,https://en.wikipedia.org/wiki/1963_German_Grand_Prix
1963,7,Italian Grand Prix,monza,1963-09-08,,https://en.wikipedia.org/wiki/1963_Italian_Grand_Prix
1963,8,United States Grand Prix,watkins_glen,1963-10-06,,https://en.wikipedia.org/wiki/1963_United_States_Grand_Prix
1963,9,Mexican Grand Prix,rodriguez,1963-10-27,,https://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix
1963,10,South African Grand Prix,george,1963-12-28,,https://en.wikipedia.org/wiki/1963_South_African_Grand_Prix
1964,1,Monaco Grand Prix,monaco,1964-05-10,,https://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix
1964,2,Dutch Grand Prix,zandvoort,1964-05-24,,https://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix
1964,3,Belgian Grand Prix,spa,1964-06-14,,https://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix
1964,4,French Grand Prix,essarts,1964-06-28,,https://en.wikipedia.org/wiki/1964_French_Grand_Prix
1964,5,British Grand Prix,brands_hatch,1964-07-11,,https://en.wikipedia.org/wiki/1964_British_Grand_Prix
1964,6,German Grand Prix,nurburgring,1964-08-02,,https://en.wikipedia.org/wiki/1964_German_Grand_Prix
1964,7,Austrian Grand Prix,zeltweg,1964-08-23,,https://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix
1964,8,Italian Grand Prix,monza,1964-09-06,,https://en.wikipedia.org/wiki/1964_Italian_Grand_Prix
1964,9,United States Grand Prix,watkins_glen,1964-10-04,,https://en.wikipedia.org/wiki/1964_United_States_Grand_Prix
1964,10,Mexican Grand Prix,rodriguez,1964-10-25,,https://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix
1965,1,South African Grand Prix,george,1965-01-01,,https://en.wikipedia.org/wiki/1965_South_African_Grand_Prix
1965,2,Monaco Grand Prix,monaco,1965-05-30,,https://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
1965,3,Belgian Grand Prix,spa,1965-06-13,,https://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
1965,4,French Grand Prix,charade,1965-06-27,,https://en.wikipedia.org/wiki/1965_French_Grand_Prix
1965,5,British Grand Prix,silverstone,1965-07-10,,https://en.wikipedia.org/wiki/1965_British_Grand_Prix
1965,6,Dutch Grand Prix,zandvoort,1965-07-18,,https://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix
1965,7,German Grand Prix,nurburgring,1965-08-01,,https://en.wikipedia.org/wiki/1965_German_Grand_Prix
1965,8,Italian Grand Prix,monza,1965-09-12,,https://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
1965,9,United States Grand Prix,watkins_glen,1965-10-03,,https://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
1965,10,Mexican Grand Prix,rodriguez,1965-10-24,,https://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
1966,1,Monaco Grand Prix,monaco,1966-05-22,,https://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
1966,2,Belgian Grand Prix,spa,1966-06-12,,https://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
1966,3,French Grand Prix,reims,1966-07-03,,https://en.wikipedia.org/wiki/1966_French_Grand_Prix
1966,4,British Grand Prix,brands_hatch,1966-07-16,,https://en.wikipedia.org/wiki/1966_British_Grand_Prix
1966,5,Dutch Grand Prix,zandvoort,1966-07-24,,https://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
1966,6,German Grand Prix,nurburgring,1966-08-07,,https://en.wikipedia.org/wiki/1966_German_Grand_Prix
1966,7,Italian Grand Prix,monza,1966-09-04,,https://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
1966,8,United States Grand Prix,watkins_glen,1966-10-02,,https://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
1966,9,Mexican Grand Prix,rodriguez,1966-10-23,,https://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
1967,1,South African Grand Prix,kyalami,1967-01-02,,https://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
1967,2,Monaco Grand Prix,monaco,1967-05-07,,https://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
1967,3,Dutch Grand Prix,zandvoort,1967-06-04,,https://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
1967,4,Belgian Grand Prix,spa,1967-06-18,,https://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
1967,5,French Grand Prix,lemans,1967-07-02,,https://en.wikipedia.org/wiki/1967_French_Grand_Prix
1967,6,British Grand Prix,silverstone,1967-07-15,,https://en.wikipedia.org/wiki/1967_British_Grand_Prix
1967,7,German Grand Prix,nurburgring,1967-08-06,,https://en.wikipedia.org/wiki/1967_German_Grand_Prix
1967,8,Canadian Grand Prix,mosport,1967-08-27,,https://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
1967,9,Italian Grand Prix,monza,1967-09-10,,https://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
1967,10,United States Grand Prix,watkins_glen,1967-10-01,,https://en.wikipedia.org/wiki/1967_United_States_Grand_Prix
1967,11,Mexican Grand Prix,rodriguez,1967-10-22,,https://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
1968,1,South African Grand Prix,kyalami,1968-01-01,,https://en.wikipedia.org/wiki/1968_South_African_Grand_Prix
1968,2,Spanish Grand Prix,jarama,1968-05-12,,https://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix
1968,3,Monaco Grand Prix,monaco,1968-05-26,,https://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix
1968,4,Belgian Grand Prix,spa,1968-06-09,,https://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix
1968,5,Dutch Grand Prix,zandvoort,1968-06-23,,https://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix
1968,6,French Grand Prix,essarts,1968-07-07,,https://en.wikipedia.org/wiki/1968_French_Grand_Prix
1968,7,British Grand Prix,brands_hatch,1968-07-20,,https://en.wikipedia.org/wiki/1968_British_Grand_Prix
1968,8,German Grand Prix,nurburgring,1968-08-04,,https://en.wikipedia.org/wiki/1968_German_Grand_Prix
1968,9,Italian Grand Prix,monza,1968-09-08,,https://en.wikipedia.org/wiki/1968_Italian_Grand_Prix
1968,10,Canadian Grand Prix,tremblant,1968-09-22,,https://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix
1968,11,United States Grand Prix,watkins_glen,1968-10-06,,https://en.wikipedia.org/wiki/1968_United_States_Grand_Prix
1968,12,Mexican Grand Prix,rodriguez,1968-11-03,,https://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix
1969,1,South African Grand Prix,kyalami,1969-03-01,,https://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
1969,2,Spanish Grand Prix,montjuic,1969-05-04,,https://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix
1969,3,Monaco Grand Prix,monaco,1969-05-18,,https://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix
1969,4,Dutch Grand Prix,zandvoort,1969-06-21,,https://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix
1969,5,French Grand Prix,charade,1969-07-06,,https://en.wikipedia.org/wiki/1969_French_Grand_Prix
1969,6,British Grand Prix,silverstone,1969-07-19,,https://en.wikipedia.org/wiki/1969_British_Grand_Prix
1969,7,German Grand Prix,nurburgring,1969-08-03,,https://en.wikipedia.org/wiki/1969_German_Grand_Prix
1969,8,Italian Grand Prix,monza,1969-09-07,,https://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
1969,9,Canadian Grand Prix,mosport,1969-09-20,,https://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
1969,10,United States Grand Prix,watkins_glen,1969-10-05,,https://en.wikipedia.org/wiki/1969_United_States_Grand_Prix
1969,11,Mexican Grand Prix,rodriguez,1969-10-19,,https://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix
1970,1,South African Grand Prix,kyalami,1970-03-07,,https://en.wikipedia.org/wiki/1970_South_African_Grand_Prix
1970,2,Spanish Grand Prix,jarama,1970-04-19,,https://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix
1970,3,Monaco Grand Prix,monaco,1970-05-10,,https://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
1970,4,Belgian Grand Prix,spa,1970-06-07,,https://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix
1970,5,Dutch Grand Prix,zandvoort,1970-06-21,,https://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix
1970,6,French Grand Prix,charade,1970-07-05,,https://en.wikipedia.org/wiki/1970_French_Grand_Prix
1970,7,British Grand Prix,brands_hatch,1970-07-18,,https://en.wikipedia.org/wiki/1970_British_Grand_Prix
1970,8,German Grand Prix,hockenheimring,1970-08-02,,https://en.wikipedia.org/wiki/1970_German_Grand_Prix
1970,9,Austrian Grand Prix,red_bull_ring,1970-08-16,,https://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix
1970,10,Italian Grand Prix,monza,1970-09-06,,https://en.wikipedia.org/wiki/1970_Italian_Grand_Prix
1970,11,Canadian Grand Prix,tremblant,1970-09-20,,https://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
1970,12,United States Grand Prix,watkins_glen,1970-10-04,,https://en.wikipedia.org/wiki/1970_United_States_Grand_Prix
1970,13,Mexican Grand Prix,rodriguez,1970-10-25,,https://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix
1971,1,South African Grand Prix,kyalami,1971-03-06,,https://en.wikipedia.org/wiki/1971_South_African_Grand_Prix
1971,2,Spanish Grand Prix,montjuic,1971-04-18,,https://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix
1971,3,Monaco Grand Prix,monaco,1971-05-23,,https://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix
1971,4,Dutch Grand Prix,zandvoort,1971-06-20,,https://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix
1971,5,French Grand Prix,ricard,1971-07-04,,https://en.wikipedia.org/wiki/1971_French_Grand_Prix
1971,6,British Grand Prix,silverstone,1971-07-17,,https://en.wikipedia.org/wiki/1971_British_Grand_Prix
1971,7,German Grand Prix,nurburgring,1971-08-01,,https://en.wikipedia.org/wiki/1971_German_Grand_Prix
1971,8,Austrian Grand Prix,red_bull_ring,1971-08-15,,https://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix
1971,9,Italian Grand Prix,monza,1971-09-05,,https://en.wikipedia.org/wiki/1971_Italian_Grand_Prix
1971,10,Canadian Grand Prix,mosport,1971-09-19,,https://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix
1971,11,United States Grand Prix,watkins_glen,1971-10-03,,https://en.wikipedia.org/wiki/1971_United_States_Grand_Prix
1972,1,Argentine Grand Prix,galvez,1972-01-23,,https://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix
1972,2,South African Grand Prix,kyalami,1972-03-04,,https://en.wikipedia.org/wiki/1972_South_African_Grand_Prix
1972,3,Spanish Grand Prix,jarama,1972-05-01,,https://en.wikipedia.org/wiki/1972_Spanish_Grand_Prix
1972,4,Monaco Grand Prix,monaco,1972-05-14,,https://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix
1972,5,Belgian Grand Prix,nivelles,1972-06-04,,https://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix
1972,6,French Grand Prix,charade,1972-07-02,,https://en.wikipedia.org/wiki/1972_French_Grand_Prix
1972,7,British Grand Prix,brands_hatch,1972-07-15,,https://en.wikipedia.org/wiki/1972_British_Grand_Prix
1972,8,German Grand Prix,nurburgring,1972-07-30,,https://en.wikipedia.org/wiki/1972_German_Grand_Prix
1972,9,Austrian Grand Prix,red_bull_ring,1972-08-13,,https://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix
1972,10,Italian Grand Prix,monza,1972-09-10,,https://en.wikipedia.org/wiki/1972_Italian_Grand_Prix
1972,11,Canadian Grand Prix,mosport,1972-09-24,,https://en.wikipedia.org/wiki/1972_Canadian_Grand_Prix
1972,12,United States Grand Prix,watkins_glen,1972-10-08,,https://en.wikipedia.org/wiki/1972_United_States_Grand_Prix
1973,1,Argentine Grand Prix,galvez,1973-01-28,,https://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix
1973,2,Brazilian Grand Prix,interlagos,1973-02-11,,https://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix
1973,3,South African Grand Prix,kyalami,1973-03-03,,https://en.wikipedia.org/wiki/1973_South_African_Grand_Prix
1973,4,Spanish Grand Prix,montjuic,1973-04-29,,https://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix
1973,5,Belgian Grand Prix,zolder,1973-05-20,,https://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix
1973,6,Monaco Grand Prix,monaco,1973-06-03,,https://en.wikipedia.org/wiki/1973_Monaco_Grand_Prix
1973,7,Swedish Grand Prix,anderstorp,1973-06-17,,https://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix
1973,8,French Grand Prix,ricard,1973-07-01,,https://en.wikipedia.org/wiki/1973_French_Grand_Prix
1973,9,British Grand Prix,silverstone,1973-07-14,,https://en.wikipedia.org/wiki/1973_British_Grand_Prix
1973,10,Dutch Grand Prix,zandvoort,1973-07-29,,https://en.wikipedia.org/wiki/1973_Dutch_Grand_Prix
1973,11,German Grand Prix,nurburgring,1973-08-05,,https://en.wikipedia.org/wiki/1973_German_Grand_Prix
1973,12,Austrian Grand Prix,red_bull_ring,1973-08-19,,https://en.wikipedia.org/wiki/1973_Austrian_Grand_Prix
1973,13,Italian Grand Prix,monza,1973-09-09,,https://en.wikipedia.org/wiki/1973_Italian_Grand_Prix
1973,14,Canadian Grand Prix,mosport,1973-09-23,,https://en.wikipedia.org/wiki/1973_Canadian_Grand_Prix
1973,15,United States Grand Prix,watkins_glen,1973-10-07,,https://en.wikipedia.org/wiki/1973_United_States_Grand_Prix
1974,1,Argentine Grand Prix,galvez,1974-01-13,,https://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix
1974,2,Brazilian Grand Prix,interlagos,1974-01-27,,https://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix
1974,3,South African Grand Prix,kyalami,1974-03-30,,https://en.wikipedia.org/wiki/1974_South_African_Grand_Prix
1974,4,Spanish Grand Prix,jarama,1974-04-28,,https://en.wikipedia.org/wiki/1974_Spanish_Grand_Prix
