circuit_id,circuit_name,locality,country,lat,lng,url
miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,https://en.wikipedia.org/wiki/Miami_International_Autodrome
monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,https://en.wikipedia.org/wiki/Circuit_de_Monaco
monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,https://en.wikipedia.org/wiki/Circuito_de_Monsanto
montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,https://en.wikipedia.org/wiki/Monza_Circuit
mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park
mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,https://en.wikipedia.org/wiki/Mugello_Circuit
nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,https://en.wikipedia.org/wiki/Nivelles-Baulers
nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,https://en.wikipedia.org/wiki/N%C3%BCrburgring
okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,https://en.wikipedia.org/wiki/Okayama_International_Circuit
pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,https://en.wikipedia.org/wiki/Pedralbes_Circuit
pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,https://en.wikipedia.org/wiki/Pescara_Circuit
phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,https://en.wikipedia.org/wiki/Phoenix_street_circuit
portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,https://en.wikipedia.org/wiki/Algarve_International_Circuit
red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,https://en.wikipedia.org/wiki/Red_Bull_Ring
reims,Reims-Gueux,Reims,France,49.2542,3.93083,https://en.wikipedia.org/wiki/Reims-Gueux
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard
riverside,Riverside International Raceway,California,USA,33.937,-117.273,https://en.wikipedia.org/wiki/Riverside_International_Raceway
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,https://en.wikipedia.org/wiki/Sebring_International_Raceway
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,https://en.wikipedia.org/wiki/Sepang_International_Circuit
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,https://en.wikipedia.org/wiki/Shanghai_International_Circuit
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,https://en.wikipedia.org/wiki/Silverstone_Circuit
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,https://en.wikipedia.org/wiki/Sochi_Autodrom
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course
tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,https://en.wikipedia.org/wiki/Valencia_Street_Circuit
vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,https://en.wikipedia.org/wiki/Watkins_Glen_International
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,https://en.wikipedia.org/wiki/Yas_Marina_Circuit
yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,https://en.wikipedia.org/wiki/Korea_International_Circuit
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,https://en.wikipedia.org/wiki/Circuit_Zandvoort
zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,https://en.wikipedia.org/wiki/Zeltweg_Air_Base
zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,https://en.wikipedia.org/wiki/Circuit_Zolder
